document_name,chunk_id,chunk_sequence_number,chunk_type,chunk_content,chunk_text_length,chunk_word_count,page,box_l,box_t,box_r,box_b,processed_at,ade_version,model_version
CT_Study_of_the_Common_Cold.pdf,38d920b3-71aa-44d8-b9e6-8cb902da628c,0,marginalia,Vol. 330 No. 1,14,4,0,0.09047642350196838,0.053592097014188766,0.19569635391235352,0.0714913159608841,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,2e12705d-6164-44ff-a842-11ff3947c0a0,1,text,COMPUTED TOMOGRAPHIC STUDY OF THE COMMON COLD — GWALTNEY ET AL.,63,11,0,0.23863402009010315,0.052769020199775696,0.83807373046875,0.07149794697761536,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,d3d9efab-7884-4e33-9a1f-98ecd4545093,2,marginalia,25,2,1,0,0.8819229006767273,0.05428661033511162,0.904076874256134,0.07130560278892517,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,623eabe1-188d-4c0e-88df-8f2b7c117ec1,3,text,"COMPUTED TOMOGRAPHIC STUDY OF THE COMMON COLD
JACK M. GWALTNEY, JR., M.D., C. DOUGLAS PHILLIPS, M.D., R. DAVID MILLER, B.S.,
AND DONALD K. RIKER, PH.D.",151,25,0,0.17645978927612305,0.08732090890407562,0.8155085444450378,0.14468181133270264,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,76f41483-86b7-4fd0-9964-e139be35336c,4,text,"**Abstract** *Background.* Colds are common, but the ab-normalities they produce in the nasal passages and sinus cavities have not been well defined.",149,22,0,0.08938905596733093,0.1498674750328064,0.48877063393592834,0.19025880098342896,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,10541854-4186-4fc3-be5d-b1c9255f9c79,5,text,"Methods. We studied healthy adult volunteers with self-diagnosed colds of 48 to 96 hours' duration and obtained the following data: information on symptoms, computed tomographic (CT) studies of the nasal passages and sinuses, mucosal-transport times, measures of nasal-airway resistance, and viral-culture studies. Thirty-one subjects (mean age, 24 years) had complete evaluations, including CT scans, which were read without knowledge of the clinical data. An additional 79 subjects underwent the same evaluations, except the CT scans.",536,75,0,0.08942943811416626,0.18979617953300476,0.48870086669921875,0.31658580899238586,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,a01bf6e4-a3a9-4f55-b00c-0954223c65c0,6,text,"_Results._ Of the 31 subjects with CT scans, 24 (77 percent) had occlusion of the ethmoid infundibulum; 27 (87 percent) had abnormalities of one or both maxillary-sinus cavities; 20 (65 percent) had abnormalities of the ethmoid sinuses; 10 (32 percent) had abnormalities of the frontal",285,45,0,0.08956228196620941,0.3160712718963623,0.4889334440231323,0.3827763795852661,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,2d971b24-9151-4a11-9943-d6fed4ae315f,7,text,STUDIES of the common cold have relied on diagnosis by the patients themselves¹⁻³ or diagnosis by an investigator using individual symptoms reported by the patients.⁴⁻⁶ These methods have limited usefulness for determining which anatomical areas of the upper airway are involved in the illness. There is a general assumption that in the upper airway the cold is mainly confined to the nasal passages and pharynx. Extension of the illness to the paranasal sinuses is thought to represent a complication.,502,79,0,0.08948290348052979,0.4010773003101349,0.48939990997314453,0.5427616238594055,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,547130f2-279c-495a-a306-a1c6b76cd9d6,8,text,"Computed tomographic (CT) scanning allows de-tailed imaging of the nasal passages, ostiomeatal com-plex, and paranasal sinuses. We obtained CT scans of the nasal passages and sinuses of subjects with early, naturally acquired colds and correlated the findings with symptom scores, data on nasal-airway resistance, and mucosal-transport times to determine how the common cold involves the upper airway.",401,57,0,0.08957643806934357,0.542220950126648,0.489834189414978,0.6556004285812378,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,c41b93c2-a130-4213-85f8-b88669aca5e2,9,text,"## METHODS

### Subjects
Subjects 18 years of age or older were recruited by solicitations for volunteers with a ""fresh common cold."" Volunteers were screened by telephone for eligibility in a way designed to mask the criteria for enrollment in the study. These criteria included good health other than having the common cold; duration of symptoms of at least 48 hours but less than 96 hours; no active allergic rhinitis or other respiratory illness; no history of recurrent or chronic sinusitis or nasal polyps; no use of cough, cold, or analgesic drugs within 8 hours before enrollment; and reported nasal or head congestion at the time of the initial visit. After 28 subjects had been enrolled, the last criterion was eliminated to allow investigation of CT findings in subjects without congestion.

Of the 356 people who volunteered to participate in the study, 129 were excluded because they could not or did not keep the initial",934,155,0,0.08662526309490204,0.6595521569252014,0.48908907175064087,0.8621848225593567,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,547159fa-f860-438a-8330-694459438483,10,text,"From the Departments of Internal Medicine (J.M.G.) and Radiology (C.D.P.),
University of Virginia Health Sciences Center, Charlottesville, and the Procter
& Gamble Company, Cincinnati (R.D.M., D.K.R.). Address reprint requests to
Dr. Gwaltney at the Department of Internal Medicine, University of Virginia
Health Sciences Center, Charlottesville, VA 22908.
Supported by the Procter & Gamble Company, Cincinnati.",411,55,0,0.08962000906467438,0.8740313649177551,0.4902098774909973,0.9387961030006409,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
CT_Study_of_the_Common_Cold.pdf,8de95144-c4d0-408d-b82c-526bd05827d3,11,text,"sinuses; and 12 (39 percent) had abnormalities of the sphenoid sinuses. Infraorbital air cells were present in 14 subjects (45 percent), and pneumatization of the middle turbinate (concha bullosa) was noted in 11 subjects (35 percent). Also common were engorged turbinates (in 7 subjects) and thickening of the walls of the nasal pas-sages (in 13). After two weeks, the CT studies were re-peated in 14 subjects, none of whom received antibiotics. In 11 of these subjects (79 percent) the abnormalities of the infundibula and sinuses had cleared or markedly im-proved. Nasal-airway resistance was abnormal in 29 (94 percent) and mucosal transport in 19 (61 percent) of the 31 subjects who had CT scans. Rhinovirus was detected in nasal secretions from 24 (27 percent) of 90 subjects.

Conclusions. The common cold is associated with fre-quent and variable anatomical involvement of the upper airways, including occlusion and abnormalities in the sinus cavities. (N Engl J Med 1994;330:25-30.)",991,155,0,0.5077400207519531,0.15044693648815155,0.9065015316009521,0.3802546262741089,2026-05-08T19:40:26.797331+00:00,1.12.0,dpt-2-20260410
